顾客编号,1月消费金额,2月消费金额,3月消费金额,4月消费金额,1月消费天数,2月消费天数,3月消费天数,4月消费天数
0,11.05,0,0,13.6,1,0,0,1
1,12.3,30.3,0,0,1,1,0,0
2,48.7,30,0,0,2,1,0,0
3,67.39,360.97,68.87,49.28,3,4,7,4
4,27.9,0,0,154.94,1,0,0,2
5,57.6,0,33.5,48.34,2,0,1,2
6,23.99,65.67,11.5,49.14,1,1,1,3
7,138.37,0,61.49,52.07,2,0,1,2
8,190.49,0,111.85,74.72,4,0,4,1
9,80.4,0,0,0,2,0,0,0
10,220.63,0,117.03,0,2,0,2,0
11,50.3,0,0,0,1,0,0,0
12,677.89,531.95,391.52,236.83,17,4,16,8
13,158.3,9.7,160.72,314.14,4,1,5,8
14,298.22,0,0,0,6,0,0,0
15,313.88,0,0,0,3,0,0,0
16,139.99,246.1,0,0,4,1,0,0
17,240.77,284.65,45.02,52.8,7,4,2,2
18,32.44,0,0,0,1,0,0,0
19,223.06,0,0,42.9,3,0,0,1
20,117.78,122.24,24.21,131.36,4,4,2,4
21,74.66,111.1,47.76,13.88,2,1,1,1
22,93.79,0,0,0,1,0,0,0
23,16.2,0,0,0,1,0,0,0
24,178.13,144.58,353.82,177.28,11,7,13,6
25,38.51,0,0,0,1,0,0,0
26,184.39,59.7,0,0,3,2,0,0
27,81.59,0,0,0,2,0,0,0
28,13.9,0,0,0,1,0,0,0
29,20.5,0,0,0,1,0,0,0
30,53.02,0,0,0,1,0,0,0
31,173.08,59.5,176.26,195.03,3,2,4,3
32,415.04,388.22,175.76,203.84,9,6,3,4
33,219.7,0,0,0,1,0,0,0
34,217.61,190.1,308.7,302,8,7,11,5
35,80.92,0,0,0,1,0,0,0
36,42.72,0,0,144.1,1,0,0,1
37,102.76,283.9,0,21.6,4,4,0,1
38,234.45,145.35,0,95.02,4,4,0,2
39,155.8,45.36,245.99,69.18,7,6,10,4
40,32.65,303.85,0,0,2,1,0,0
41,38.43,40.13,0,0,2,1,0,0
42,27.65,0,0,96.81,1,0,0,1
43,55.8,48.83,0,113.2,1,2,0,3
44,100.7,59.88,29.82,0,3,1,1,0
45,12.5,0,0,0,1,0,0,0
46,88.66,12.46,60.63,89.93,2,1,2,4
