,顾客编号,1月消费金额,2月消费金额,3月消费金额,4月消费金额,总消费金额
1177,1177,25.03,13114.75,457.28000000000003,0.0,13597.060000000001
52,52,307.27000000000004,2025.0800000000002,381.51,875.29,3589.1500000000005
986,986,1856.8100000000002,0.0,754.43,0.0,2611.2400000000002
1385,1385,0.0,2475.4,0.0,0.0,2475.4
108,108,677.5300000000001,671.75,514.0600000000001,485.88,2349.2200000000003
210,210,339.44,596.86,673.4700000000001,379.9599999999999,1989.73
12,12,677.89,531.95,391.5199999999999,236.83,1838.19
395,395,251.63,410.3899999999999,542.02,616.1599999999999,1820.1999999999998
74,74,682.81,137.3,316.8,541.46,1678.37
1594,1594,0.0,1563.9,0.0,0.0,1563.9
372,372,470.62,321.14000000000004,314.78000000000003,412.33999999999986,1518.8799999999999
231,231,333.0,332.25,592.59,245.57000000000002,1503.41
925,925,162.73,1070.5700000000002,128.76000000000002,140.99,1503.0500000000002
304,304,534.6700000000001,166.43,233.98,538.16,1473.2400000000002
84,84,396.69,416.59999999999997,232.10000000000002,413.24,1458.6299999999999
834,834,436.9299999999999,449.29999999999995,473.9399999999999,52.64999999999999,1412.8199999999997
92,92,1020.22,215.02999999999997,0.0,111.27000000000001,1346.52
47,47,550.6500000000001,39.29,452.8399999999999,301.63999999999993,1344.4199999999998
174,174,402.83,64.51,516.91,249.91,1234.16
1064,1064,584.3,435.65,152.92000000000002,59.98,1232.85
1119,1119,57.92,473.72,189.78,470.34,1191.76
32,32,415.04,388.21999999999997,175.76,203.83999999999997,1182.86
91,91,377.5,98.34,96.14000000000001,576.19,1148.17
438,438,230.21,916.4,0.0,0.0,1146.61
1133,1133,295.53,392.90999999999997,203.02999999999997,242.78,1134.25
796,796,206.50000000000003,613.4699999999999,133.2,163.96,1117.1299999999999
144,144,271.21999999999997,462.85999999999996,149.35999999999999,224.29000000000002,1107.73
142,142,301.46999999999997,295.26,246.34000000000003,255.05,1098.1200000000001
73,73,352.8,296.3500000000001,208.95000000000002,239.29,1097.39
